,nameWithOwner,createdAt,forkCount,primaryLanguage.name,stargazers.totalCount,releases.totalCount,releases.nodes
33,AbeelLab/genometools,2013-09-03T19:04:49Z,1,Java,5,15,"[{'publishedAt': '2016-10-26T20:11:36Z'}, {'publishedAt': '2016-10-26T20:50:37Z'}, {'publishedAt': '2016-11-07T13:41:27Z'}, {'publishedAt': '2017-01-13T14:31:38Z'}, {'publishedAt': '2017-01-13T14:51:36Z'}, {'publishedAt': '2017-06-30T15:07:36Z'}, {'publishedAt': '2017-06-30T15:45:15Z'}, {'publishedAt': '2017-10-10T12:09:55Z'}, {'publishedAt': '2017-11-29T23:26:37Z'}, {'publishedAt': '2018-02-28T20:12:24Z'}]"
34,sina-cb/Tn-seqExplorer,2014-12-17T05:29:34Z,3,Java,5,1,[{'publishedAt': '2017-05-07T00:44:00Z'}]
35,cybuch/sample-spring-data-mongo-composite-key,2017-01-29T16:56:32Z,0,Java,4,0,[]
36,polimi-mt-acg/back2school,2018-03-01T14:33:42Z,0,Java,4,0,[]
37,apupeikis/pixelazier,2010-09-01T03:29:16Z,1,Java,4,0,[]
38,rupomsoft/Toast-Silicon,2019-11-06T18:13:28Z,0,Java,4,1,[{'publishedAt': '2019-11-06T18:21:49Z'}]
39,SuryaSrikar/Hand_Talk_Translator,2019-09-22T02:33:15Z,2,Java,4,0,[]
40,akkhilaysh/Android-BLE-detection-for-BusModule,2016-11-03T16:49:02Z,5,Java,4,0,[]
41,pratikdimble/Hibernate_Native_Generator_XML,2017-12-28T08:52:46Z,0,Java,4,0,[]
42,Nikita-Jadhav/KNN_HealthCare-Hospital-Management-System,2019-01-04T13:01:12Z,3,Java,4,0,[]
43,hellokoding/jpa-onetoone-sharedprimarykey-springboot-maven-mysql,2015-10-17T14:58:27Z,9,Java,3,0,[]
44,JavaCardOS/Oath-Applet,2015-12-25T12:23:04Z,5,Java,3,0,[]
45,Crazy-MT/festival_sms,2015-12-26T10:19:47Z,1,Java,3,0,[]
46,codehaus/izpack,2012-04-16T08:58:42Z,2,Java,3,0,[]
47,frc5567/2019-Robot,2019-01-08T20:32:31Z,0,Java,3,0,[]
48,BjerknesClimateDataCentre/QuinCe,2015-04-07T10:35:48Z,4,Java,3,109,"[{'publishedAt': '2017-03-16T13:56:38Z'}, {'publishedAt': '2017-03-27T09:19:15Z'}, {'publishedAt': '2017-03-27T13:55:50Z'}, {'publishedAt': '2017-03-30T12:25:39Z'}, {'publishedAt': '2017-04-11T07:54:14Z'}, {'publishedAt': '2017-05-02T06:17:16Z'}, {'publishedAt': '2017-06-06T07:23:12Z'}, {'publishedAt': '2017-07-27T14:20:54Z'}, {'publishedAt': '2017-08-07T11:25:06Z'}, {'publishedAt': '2018-01-23T21:55:07Z'}]"
49,kodapan/kodapan-entity-store,2010-07-13T23:18:13Z,1,Java,3,0,[]
50,novoda/storage-path-finder,2018-06-18T14:06:29Z,0,Java,3,0,[]
51,ShardBytes/Evolutions,2018-05-13T19:02:34Z,0,Java,3,0,[]
52,Lomztein/Semesterproject01-Gruppe30-2018,2018-09-11T08:55:49Z,0,Java,3,0,[]
53,ndorigatti/MultiColorProgressBar,2014-07-30T17:12:14Z,0,Java,3,0,[]
54,shahria73/Fotoshop-G-14,2019-03-08T15:24:20Z,0,Java,3,0,[]
55,Planumex/Planumex-Blockchain,2018-11-20T03:54:04Z,1,Java,3,1,[{'publishedAt': '2018-11-20T04:31:22Z'}]
56,pratikdimble/Hibernate_UUID_Generator_XML,2017-12-28T08:11:59Z,0,Java,3,0,[]
57,dragona/survey,2020-02-12T04:00:25Z,46,Java,2,0,[]
58,SoftwareEconomics/primary-ports-kata,2019-04-14T11:56:55Z,6,Java,2,0,[]
59,SurendraVidiyala/BankingApp,2018-01-23T20:26:27Z,10,Java,2,0,[]
60,DotFreelance/To-Do-Bot,2016-01-12T22:22:31Z,5,Java,2,0,[]
61,VHAINNOVATIONS/Telepathology,2015-03-27T14:37:44Z,8,Java,2,0,[]
62,gavinxxxxxx/Primary,2017-04-26T03:23:35Z,0,Java,2,0,[]
63,wanxuedong/PrimaryExercises,2019-12-27T05:17:43Z,0,Java,2,0,[]
64,OpenSTL/STLCourts-api,2015-09-17T15:19:20Z,2,Java,2,5,"[{'publishedAt': '2017-05-01T11:23:18Z'}, {'publishedAt': '2017-06-14T04:52:19Z'}, {'publishedAt': '2017-12-06T04:32:04Z'}, {'publishedAt': '2018-03-02T06:14:14Z'}, {'publishedAt': '2018-04-06T05:44:26Z'}]"
65,GuoZhaoHui628/PrimaryCustomView,2017-12-28T02:49:28Z,0,Java,2,0,[]
66,Jennifer331/BitmapPrimaryDemo,2015-12-10T04:00:03Z,1,Java,2,0,[]
67,helipilot50/store-primary-key,2015-10-06T23:27:53Z,0,Java,2,0,[]
68,Shallow-Xu/union_primary_key,2017-07-12T09:28:25Z,1,Java,2,0,[]
69,itqpleyva/CompositePrimaryKeyJPA,2020-05-18T19:22:39Z,0,Java,2,0,[]
70,wchkong/niuke-primary-algorithm-course,2019-08-06T14:54:45Z,0,Java,2,0,[]
71,DysaniazzZ/HelloAndroid,2016-09-08T10:32:01Z,0,Java,2,0,[]
72,cjqCN/tinypk,2019-01-10T15:33:17Z,0,Java,2,0,[]
73,picketbox-back/picketbox-infinispan,2012-08-02T16:46:47Z,2,Java,2,0,[]
74,RED-M0CKING-LINE/Team5183Robot2020J,2019-07-07T05:27:15Z,0,Java,2,1,[{'publishedAt': '2019-07-07T19:50:04Z'}]
75,3kuai/hanbo-jdbc,2018-11-07T09:56:59Z,2,Java,2,0,[]
76,midn1/majc,2016-07-04T10:17:40Z,0,Java,2,8,"[{'publishedAt': '2016-07-04T10:25:57Z'}, {'publishedAt': '2016-07-05T16:38:41Z'}, {'publishedAt': '2016-07-05T17:00:23Z'}, {'publishedAt': '2016-07-06T11:50:25Z'}, {'publishedAt': '2016-07-07T22:26:45Z'}, {'publishedAt': '2016-07-08T08:54:11Z'}, {'publishedAt': '2016-07-09T08:15:49Z'}, {'publishedAt': '2016-07-11T12:13:48Z'}]"
77,codehaus/mrp,2012-04-16T08:58:42Z,2,Java,2,0,[]
78,SoaringPhoenix/Memorandum_by_Freeman,2018-03-22T07:09:51Z,0,Java,2,0,[]
79,codehaus/gpars,2012-04-16T08:58:39Z,1,Java,2,0,[]
80,wenxin666/hellodata,2019-06-23T18:28:01Z,0,Java,2,0,[]
81,itsaky/PreUI,2019-10-03T15:39:41Z,2,Java,2,0,[]
82,ferlandlab/BranchAnalysis2D-3D,2017-10-16T21:34:50Z,1,Java,2,0,[]
83,NCIP/rembrandt,2013-09-16T14:40:18Z,2,Java,2,0,[]
